State,Year,Quarter,Value
AK,1975,1,62.03
AK,1975,2,63.93
AK,1975,3,68.14
AK,1975,4,68.2
AK,1976,1,71.33
AK,1976,2,71.51
AK,1976,3,77.37
AK,1976,4,73.97
AK,1977,1,78.19
AK,1977,2,76.87
AK,1977,3,78.52
AK,1977,4,79.38
AK,1978,1,81.51
AK,1978,2,85.99
AK,1978,3,87.63
AK,1978,4,87.04
AK,1979,1,89.01
AK,1979,2,98.18
AK,1979,3,96.4
AK,1979,4,95.43
AK,1980,1,100
AK,1980,2,82.8
AK,1980,3,73.76
AK,1980,4,94.67
AK,1981,1,89.44
AK,1981,2,108.44
AK,1981,3,116.27
AK,1981,4,129.02
AK,1982,1,136.07
AK,1982,2,130.93
AK,1982,3,140.69
AK,1982,4,136.73
AK,1983,1,138.71
AK,1983,2,140
AK,1983,3,146.48
AK,1983,4,145.89
AK,1984,1,149.85
AK,1984,2,147.67
AK,1984,3,154.26
AK,1984,4,152.27
AK,1985,1,144.51
AK,1985,2,145.06
AK,1985,3,145.62
AK,1985,4,141.55
AK,1986,1,142.47
AK,1986,2,144.88
AK,1986,3,140.29
AK,1986,4,136.97
AK,1987,1,133.55
AK,1987,2,124.12
AK,1987,3,115.91
AK,1987,4,104.95
AK,1988,1,120.71
AK,1988,2,115.13
AK,1988,3,126.39
AK,1988,4,131.9
AK,1989,1,128.45
AK,1989,2,104.22
AK,1989,3,103.98
AK,1989,4,102.02
AK,1990,1,98.65
AK,1990,2,112.41
AK,1990,3,121.79
AK,1990,4,119.85
AK,1991,1,124.06
AK,1991,2,127.17
AK,1991,3,131.08
AK,1991,4,131.21
AK,1992,1,133.02
AK,1992,2,134.27
AK,1992,3,134.95
AK,1992,4,135.45
AK,1993,1,135.31
AK,1993,2,135.84
AK,1993,3,138.29
AK,1993,4,139.08
AK,1994,1,140.19
AK,1994,2,143.43
AK,1994,3,145.31
AK,1994,4,144.37
AK,1995,1,146.62
AK,1995,2,149.12
AK,1995,3,150.62
AK,1995,4,151.14
AK,1996,1,153.5
AK,1996,2,156
AK,1996,3,156.5
AK,1996,4,158.5
AK,1997,1,158.37
AK,1997,2,159.69
AK,1997,3,160.89
AK,1997,4,163.01
AK,1998,1,162.76
AK,1998,2,165.49
AK,1998,3,167
AK,1998,4,166.78
AK,1999,1,168.69
AK,1999,2,172.32
AK,1999,3,171.96
AK,1999,4,172.04
AK,2000,1,171.84
AK,2000,2,174.01
AK,2000,3,175.15
AK,2000,4,175.6
AK,2001,1,178.73
AK,2001,2,182.44
AK,2001,3,185.01
AK,2001,4,185.35
AK,2002,1,188.28
AK,2002,2,193.69
AK,2002,3,194.93
AK,2002,4,194.48
AK,2003,1,195.81
AK,2003,2,198.89
AK,2003,3,203.41
AK,2003,4,211.4
AK,2004,1,212.66
AK,2004,2,217.78
AK,2004,3,229.08
AK,2004,4,231.41
AK,2005,1,237.24
AK,2005,2,246.12
AK,2005,3,254.9
AK,2005,4,262.64
AK,2006,1,266.99
AK,2006,2,273.44
AK,2006,3,278.67
AK,2006,4,280.18
AK,2007,1,284.19
AK,2007,2,286.96
AK,2007,3,285.94
AK,2007,4,285.4
AK,2008,1,285.25
AK,2008,2,285.72
AK,2008,3,281.98
AK,2008,4,284.7
AK,2009,1,285.31
AK,2009,2,282.56
AK,2009,3,281.3
AK,2009,4,282.76
AK,2010,1,278.49
AK,2010,2,280.88
AK,2010,3,282.67
AK,2010,4,283.4
AK,2011,1,283.26
AK,2011,2,282.57
AK,2011,3,283.51
AK,2011,4,285.44
AK,2012,1,283.46
AK,2012,2,282.65
AK,2012,3,285.78
AK,2012,4,287.95
AK,2013,1,291.25
AK,2013,2,291.96
AK,2013,3,294.78
AK,2013,4,296.09
AK,2014,1,293.35
AK,2014,2,299.4
AK,2014,3,303.19
AK,2014,4,302.14
AK,2015,1,305.03
AK,2015,2,308.21
AK,2015,3,311.99
AK,2015,4,312.74
AK,2016,1,313.42
AK,2016,2,315.57
AK,2016,3,317.49
AK,2016,4,315.38
AK,2017,1,317.21
AK,2017,2,317.87
AK,2017,3,321.46
AK,2017,4,321.66
AK,2018,1,321.12
AK,2018,2,323.17
AK,2018,3,323.62
AK,2018,4,323
AK,2019,1,326.05
AK,2019,2,330
AK,2019,3,332.4
AK,2019,4,332.42
AK,2020,1,335.76
AK,2020,2,339.16
AK,2020,3,343.36
AK,2020,4,346.68
AK,2021,1,350.06
AK,2021,2,363.01
AK,2021,3,380.22
AK,2021,4,385.42
AK,2022,1,395.31
AK,2022,2,418.26
AK,2022,3,422.26
AL,1975,1,75.03
AL,1975,2,72.22
AL,1975,3,74.62
AL,1975,4,71.71
AL,1976,1,77.1
AL,1976,2,74.22
AL,1976,3,77.27
AL,1976,4,79.7
AL,1977,1,81.21
AL,1977,2,83.69
AL,1977,3,88.35
AL,1977,4,89.17
AL,1978,1,88.51
AL,1978,2,88.53
AL,1978,3,96.67
AL,1978,4,96.29
AL,1979,1,99.43
AL,1979,2,100.19
AL,1979,3,101.77
AL,1979,4,107.83
AL,1980,1,100
AL,1980,2,103
AL,1980,3,109.88
AL,1980,4,108.89
AL,1981,1,105.4
AL,1981,2,109.02
AL,1981,3,112.39
AL,1981,4,106.67
AL,1982,1,109.19
AL,1982,2,107.02
AL,1982,3,107.66
AL,1982,4,115.5
AL,1983,1,114.57
AL,1983,2,114.45
AL,1983,3,116.85
AL,1983,4,113.69
AL,1984,1,123.5
AL,1984,2,120.18
AL,1984,3,124.79
AL,1984,4,121.23
AL,1985,1,121.37
AL,1985,2,124.6
AL,1985,3,127.35
AL,1985,4,128.28
AL,1986,1,129.51
AL,1986,2,131.86
AL,1986,3,133.33
AL,1986,4,135.93
