,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,0.0,4589.232235384378,2404.9740243994665,619.7338977088193,3240.0586956002753,1865.9855306555269,1593.4318416330755,1228.5250176414695,1106.782144178806,285.2051045635001,234.88349449823494,7079.380140240531,2887.1236968843737,878.927967405103,826.1973355795685,1214.850449208837,1127.3768200525728,661.4857496037382,507.48414788701854,1953.4885207330503,1147.9718196892018,1734.6658553708262,1163.3038930310627,1518.310104192675,369.01958982716707,873.3411946933248,2697.8925414701384,1318.7608498424086,3094.656660352018,1765.1200208469018,1350.8589604749059,1847.9102067708875,1586.0729770796438,799.0931214064777,2192.9890492779436,894.7529584682999,1094.2323614749941,3446.8705095217765,1216.391648825467,1682.0142396391159,520.8552515268335,1807.11112781435,425.4615029058827,1113.7154045682742,2459.4007857849047,1779.0652001210144,987.9896412364725,3488.881504274401,787.6579078306804,1221.914375110254,1911.6636304916885
Alaska,4589.232235384378,0.0,3226.721081514231,4043.7516360820573,2384.986158695835,2934.0460237563325,4582.53678074625,4625.756154456843,4558.425996181487,4872.940190270881,4571.318309673067,4522.78462545189,2057.0759995847307,3757.0646052698535,3956.921366125021,3383.319105222827,3482.620462896376,4163.0490974813965,4497.231741175351,4552.310798179612,4584.313779718525,4641.538813501426,3813.9726829146393,3148.3617652082235,4376.797335975389,3715.904931176666,1982.4727448663853,3277.8704208152208,2372.848775985498,4534.22196020746,4584.685307600352,3266.63843772251,4448.031030067976,4727.547036875251,2426.021308930082,4124.893714648119,3699.5066789105226,1676.7388168818966,4456.981083127517,4651.114623800468,4741.650913003619,2783.745173958834,4226.2572830221125,4175.14733960972,2514.8614258414314,4394.405166009483,4646.903348571615,1469.102350639364,4336.875674856967,3506.70259062309,2817.3769424856578
Arizona,2404.9740243994665,3226.721081514231,0.0,1820.7013904902865,1017.3479316829521,942.6871565117208,3558.032077566017,3312.902095554044,3182.5788635495646,2636.200459573541,2556.3315712540375,4674.4608537096265,1186.5078829707609,2114.770527520751,2409.0936823649918,1856.718879246633,1592.4031704000258,2499.9144739548865,1999.2723290711895,3808.7589571934973,3228.902792308285,3695.8807418301917,2605.7866031198314,2067.2975967177254,2041.9824180533296,1872.6722666801445,1461.925821775496,1588.2432342049494,935.8587045294316,3658.089403812296,3379.258432203739,611.286566174555,3472.6104881390233,3056.0831925253324,1948.0444242482345,2677.77595825731,1350.6250838299688,1584.8170363257252,3199.6015598940494,3662.1936035050894,2860.1699795289205,1579.574121009924,2321.9863626408414,1396.9969812779132,812.5766719845327,3585.6458303122527,3148.576537558155,1764.8063217009114,2782.3420088238868,2241.3748629150773,1069.7522999370317
Arkansas,619.7338977088193,4043.7516360820578,1820.7013904902865,0.0,2622.760339181439,1249.049941508062,1880.1416402506388,1569.5083418864126,1436.070463348061,892.1859139015281,737.7274532228961,6489.1007953122835,2273.9767123062347,609.2289854460239,784.0508236070826,770.501450109338,564.051334398623,770.405848049112,488.57754729393537,2199.0176169308106,1482.8081049257387,2025.8170605546525,1115.4710553071118,1137.5962975577993,333.05292183688533,426.83681348174866,2110.7903347337465,775.581734844398,2476.1246311012837,2021.2726451678059,1662.865782960938,1242.0600120539607,1829.4188138685615,1247.6586312619095,1712.3732184611717,1008.0196559259526,480.52274363086497,2834.0053162422223,1493.069073810938,1981.3106526400184,1039.4722930272742,1270.6174370642689,526.8974457522309,710.548354062504,1840.5814998295873,1991.3295981828546,1369.7437163129634,2884.8050858016404,1035.8841963284408,961.4636009551073,1303.3209387016966
California,3240.0586956002753,2384.9861586958355,1017.3479316829522,2622.7603391814387,0.0,1425.6041196874844,4105.9381720940855,3935.0293314285614,3815.1933809365837,3499.7660842756145,3348.3183477312755,3957.276522327125,712.8142309328505,2731.9492794788675,3028.0826629861394,2382.9257038759833,2227.182847914145,3169.8013003573424,2905.8322840095066,4285.2431003475185,3858.43728498883,4228.748468713964,3124.2883376109858,2444.547520773496,2900.7005917200395,2534.779007743176,1180.2215288022144,2129.273084046249,163.04113316835299,4165.823441625405,3971.8592766089996,1409.9701842811442,3997.953139337379,3773.7442031024657,2006.6927842343748,3289.9584643398994,2145.9411120205805,720.6050785395853,3795.0024328583545,4206.412288378855,3630.3691627911403,1869.3057037497658,3058.8586983537684,2354.1981478488533,854.9883697406177,4065.746634024946,3817.97170310834,950.7717136136405,3441.1655840653116,2729.1270870138183,1449.2512933884855
Colorado,1865.9855306555269,2934.0460237563325,942.687156511721,1249.0499415080621,1425.6041196874844,0.0,2714.6482054359426,2518.6432846881135,2396.0148785188417,2141.234630668248,1946.1471932270356,5372.442594519085,1028.0032154249427,1309.097475317327,1607.0321379219367,979.5220765721907,802.1212002059892,1744.269213038672,1624.8402867695122,2929.928654314354,2440.0738706910593,2844.755030003814,1736.5591672553344,1134.3626549153578,1560.9603541763577,1109.853039371023,951.8035859706936,714.5920235786191,1268.3554402363234,2793.217931664355,2563.592416188767,460.9118703711451,2615.6903836429365,2348.984061055005,1062.6587244674056,1872.0487460767333,808.5984894267195,1587.3869890412207,2384.792861691195,2817.343718042956,2216.252546873158,641.7646599945303,1641.3507380752528,1241.3500042136766,596.9367240975611,2706.8060611067613,2393.578736062493,1653.8097994597636,2016.7882379552216,1350.5620843088657,157.1402308609682
Connecticut,1593.4318416330755,4582.53678074625,3558.0320775660166,1880.1416402506388,4105.9381720940855,2714.6482054359426,0.0,376.82154201111615,487.4036707459724,1630.2469705254725,1358.9011459270641,8060.887969480763,3525.175783882106,1443.7343180504374,1154.0536262010887,1735.1778822002343,1966.013298820318,1110.3315193213375,2073.769718609102,369.8107518334583,448.7766498500414,145.9035601158496,982.0411773746717,1683.3557451672136,1871.4585937617892,1691.5938487106553,3149.7705086539922,2001.417478447112,3943.305644196712,186.16346702240745,244.8782179424701,2946.901945959877,134.63744722499894,843.0843027395906,2317.893873044349,890.4261383521529,2260.3461748528503,4020.928424331069,389.5496552954237,104.21671242510875,1131.925444127091,2254.5092491769615,1367.131778472718,2578.347668097665,3251.220162446009,278.0510289649774,623.1531060503187,3962.570417861478,851.1186312220252,1376.8112237871496,2662.420305360956
Delaware,1228.5250176414695,4625.7561544568425,3312.902095554044,1569.5083418864126,3935.0293314285614,2518.6432846881135,376.82154201111587,0.0,133.47314944546048,1253.8905016734188,993.683634667758,7890.032945451891,3397.616760198428,1213.002971832404,913.7323806694076,1553.3439521145242,1736.3701502749363,817.132280036434,1718.983334792955,746.5278166246552,86.70672034576397,510.39891226023263,854.6896734235554,1582.477470182361,1525.005601039972,1442.0409130640242,3056.754565662445,1806.6853345271534,3774.120800272029,560.5634772403208,135.03743728110044,2703.2578429163764,415.6594858468599,466.3693688143795,2272.555561155451,646.6457484985864,1983.4197506976589,3917.4186155298125,168.77510760156272,456.0462575586902,755.5516539140893,2128.3040772118425,1044.5727946759962,2251.035442857174,3082.399577874852,618.201759865369,246.8595283075803,3881.805377954571,537.0536109374573,1237.8589873440937,2486.057208463809
District of Columbia,1106.7821441788062,4558.425996181487,3182.578863549565,1436.070463348061,3815.1933809365837,2396.0148785188417,487.40367074597253,133.47314944546054,0.0,1148.75363288608,872.0337636263367,7768.345525350731,3287.075886556952,1088.1073950248096,789.1941246019649,1436.3383674200663,1609.7383261192804,684.9057235759601,1592.348945826467,852.6547008741114,46.90840400848517,627.8881706058394,761.341098306366,1485.0037603409157,1395.6381057446365,1313.2019346258699,2954.8353429358663,1685.967491043248,3654.7426829630967,664.2846007791868,244.09567573051703,2573.4433580340965,499.1532548198055,376.34326429054653,2185.7820022551373,525.3265915066894,1850.9430828678117,3811.5173046471755,152.1421692446414,575.5161897113175,652.2137378317623,2021.203536729958,911.3542438442777,2118.7665566681244,2963.8780976742987,701.8851106252106,156.45360073519444,3781.344979560864,404.01589191999415,1133.7659192216015,2367.0931741569557
Florida,285.2051045635002,4872.9401902708805,2636.2004595735416,892.1859139015281,3499.7660842756145,2141.234630668248,1630.2469705254725,1253.8905016734184,1148.7536328860797,0.0,368.02115908638797,7305.232604466381,3165.352156163575,1146.516537056935,1052.2977289697353,1494.8780563576925,1412.088667933228,862.9568794673675,658.1674770336131,1999.157041580675,1183.1587743746138,1763.194839798047,1365.8813854317925,1786.5637724379133,600.2758437718156,1157.2384253253329,2982.407453966442,1603.9453206486542,3357.1464734597193,1811.568024084367,1385.742222869452,2098.04979577329,1646.568654919638,790.408858996634,2471.522367720254,1063.7758001885675,1356.2478944935242,3725.341019057889,1280.1628074795246,1708.011275054543,498.3476851863281,2091.695170909042,676.7078445370908,1292.5019766949786,2731.9687465302677,1847.556059119355,1007.1474252764982,3770.8779583014225,910.8383591110148,1474.840880810282,2191.748500253476
