,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1975,75.03,62.03,60.65,66.66,41.71,54.16,62.16,77.02,46.56,65.88,73.85,67.29,70.03,66.55,66.22,59.42,61.88,64.14,51.7,60.82,61.89,67.86,60.22,55.59,75.12,65.42,57.08,63.65,52.23,74.85,64.08,56.93,78.34,66.01,67.55,65.0,52.02,51.2,70.76,61.37,75.25,75.06,68.05,55.61,55.11,77.35,69.84,46.25,50.24,61.86,49.18
1976,77.1,71.33,58.99,66.83,47.79,55.01,64.8,79.51,53.05,67.95,71.43,53.82,57.15,67.77,62.47,67.73,66.57,69.46,58.8,55.78,67.32,67.4,62.81,62.64,73.3,67.1,59.65,67.19,58.79,77.53,62.52,59.83,73.11,68.61,74.7,66.54,54.65,57.21,72.71,66.11,70.99,62.9,70.31,58.65,61.6,117.02,69.4,50.33,61.52,65.45,54.28
1977,81.21,78.19,63.63,72.87,58.01,64.98,64.22,89.94,59.63,71.03,76.83,56.25,72.92,80.29,71.4,76.21,72.62,69.79,62.87,74.61,72.24,72.45,67.31,66.81,75.37,71.48,66.05,72.41,63.63,72.02,65.08,70.34,77.75,75.06,81.73,73.19,64.2,67.14,74.66,69.25,75.83,62.81,74.89,65.95,69.66,115.08,73.02,59.74,68.11,72.88,63.18
1978,88.51,81.51,71.35,80.9,73.21,76.05,73.59,85.2,69.34,78.35,84.18,66.0,89.9,90.88,82.3,85.51,82.37,81.55,73.04,82.58,81.92,78.16,75.63,76.55,86.28,82.67,90.54,78.72,73.9,75.24,71.18,76.95,83.4,82.98,87.7,83.24,71.86,79.93,84.06,80.21,82.29,76.04,84.6,76.63,81.52,90.79,80.37,74.32,84.23,84.69,72.99
1979,99.43,89.01,87.18,91.7,84.85,91.71,95.39,86.24,89.52,89.74,87.95,74.21,98.92,97.49,93.29,95.78,92.14,95.57,87.95,104.91,91.08,90.93,91.3,91.47,98.51,95.99,94.46,92.9,91.4,89.55,85.04,89.14,96.64,90.04,99.21,95.66,88.56,95.79,92.55,90.2,93.82,89.41,90.68,89.48,94.73,94.52,89.45,88.95,83.1,96.71,87.39
1980,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1981,105.4,89.44,108.79,109.76,110.4,106.5,104.4,109.12,91.93,110.03,107.23,102.21,110.17,101.71,104.08,94.8,98.21,107.37,106.61,119.28,110.72,112.54,103.24,101.13,94.58,103.29,95.43,102.24,108.3,97.82,104.29,101.15,112.13,106.1,105.02,103.35,103.15,97.59,101.78,94.46,113.45,92.31,96.4,104.47,106.19,110.46,106.12,99.87,99.13,102.85,106.72
1982,109.19,136.07,105.34,102.69,104.22,119.61,111.77,102.2,76.57,112.77,113.56,112.73,94.15,94.98,104.73,95.53,103.56,106.58,110.11,105.24,106.95,123.53,104.58,89.53,102.92,103.18,105.03,106.25,119.1,106.16,105.39,105.72,123.33,106.71,99.11,89.12,116.75,96.76,103.71,105.22,119.38,68.78,105.9,122.47,106.66,122.3,97.79,86.62,68.85,86.29,110.39
1983,114.57,138.71,118.93,113.13,116.71,126.16,118.7,116.34,95.71,121.37,117.68,102.36,110.57,100.83,106.17,97.97,106.02,108.47,116.06,114.19,113.53,130.09,96.65,109.84,112.29,105.49,98.74,108.9,116.63,108.96,110.11,128.65,128.72,112.89,98.91,102.33,124.22,98.57,108.72,109.21,124.03,100.83,110.22,125.61,114.28,118.28,115.28,104.74,98.3,103.92,110.76
1984,123.5,149.85,117.52,120.51,119.5,126.14,131.1,125.11,102.5,125.7,124.36,108.5,110.32,107.44,105.38,98.47,107.53,112.65,116.58,132.44,118.83,156.28,97.55,113.57,118.3,113.16,123.15,110.4,120.14,121.95,123.85,123.85,150.69,118.18,118.09,106.11,122.39,98.74,113.73,118.88,127.48,113.59,110.08,125.09,112.24,121.81,121.38,106.8,98.01,106.14,100.1
